X,Y,OBJECTID,SITENUMBER,TERRITORY,NEST,NESTYEAR,last_edited_date
-85.4153668611152,29.8155693576128,279,Gulf05,4,C,2006,
-85.4163828970241,29.8376353618054,280,Gulf05,5,A,2006,
-85.4142669261521,29.8497523638382,281,Gulf05,7,A,2006,
-85.4142169313133,29.8499353608297,282,Gulf05,7,B,2006,
-85.414066938712,29.8508023766957,283,Gulf05,8,A,2006,
-85.4140669252372,29.8506693774179,284,Gulf05,8,B,2006,
-85.4119829433725,29.8589023774704,285,Gulf05,10,A,2006,
-85.4079669718943,29.8656523866438,286,Gulf05,11,A,2006,
-85.4054999690537,29.8680353943847,287,Gulf05,12,A,2006,
-85.4056169710262,29.8680353788048,288,Gulf05,12,B,2006,
-85.401699975926,29.8707353925204,289,Gulf05,13,A,2006,
-85.4018329670122,29.8704854019225,290,Gulf05,13,B,2006,
-85.3924329850994,29.8761024185399,291,Gulf05,14,A,2006,
-85.3907669830482,29.8773524234007,292,Gulf05,14,B,2006,
-85.3878499745559,29.8773024235071,293,Gulf05,15,A,2006,
-85.3882669662226,29.8767524121178,294,Gulf05,15,B,2006,
-85.3898499810095,29.8776524082155,295,Gulf05,16,A,2006,
-85.3896829815033,29.8777354232656,296,Gulf05,16,B,2006,
-85.3863999778046,29.8764694239752,297,Gulf05,17,A,2006,
-85.3875169861481,29.8776024185982,298,Gulf05,18,A,2006,
-85.3865329778741,29.8777854229422,299,Gulf05,18,B,2006,
-85.3960999799544,29.8742694111701,300,Gulf05,19,A,2006,
-85.4005669766722,29.8709693917274,301,Gulf05,19,B,2006,
-84.7089183754134,29.7512030157502,302,Frank04,12,A,2006,
-84.5721187360019,29.824603106304,303,Frank05,4,B,2006,
-84.5721517392071,29.8186361150587,304,Frank05,9,C,2006,
-85.3459329412785,29.8673694796395,305,Gulf02,4,A,2006,
-85.4008499666479,29.8708523976454,306,Gulf05,19,C,2006,
-85.4168998954364,29.8342193523379,307,Gulf05,21,A,2006,
-85.4167328932352,29.8280523617512,308,Gulf05,21,B,2006,
-85.4163669034187,29.8377693688474,309,Gulf05,22,A,2006,
-85.4153499260755,29.8424693682323,310,Gulf05,23,A,2006,
-85.4150329231881,29.8457523647816,311,Gulf05,23,B,2006,
-85.3901829739089,29.8776854181116,312,Gulf05,26,A,2006,
-85.3900829743498,29.8776024162615,313,Gulf05,26,B,2006,
-85.3893669721526,29.876202410937,314,Gulf05,27,A,2006,
-85.4159998796414,29.8210523562378,315,Gulf05,28,A,2006,
-85.4156998540146,29.8182693560541,316,Gulf05,28,B,2006,
-85.4100329658937,29.8625193786664,317,Gulf05,29,A,2006,
-85.3881699876978,29.8778824210437,318,Gulf05,30,A,2006,
-86.6972538656561,30.396150425289,319,Okal01,1,A,2006,
-86.7163708817764,30.395683388737,320,Okal01,4,A,2006,
-86.7156208846339,30.3961334012833,321,Okal01,4,B,2006,
-86.6951708647516,30.3962504229569,322,Okal01,6,6A,2006,
-86.6760708699094,30.3968674585889,323,Okal01,7,A,2006,
-86.7359868823926,30.3945833682806,324,Okal01,8,A,2006,
-86.7085868729399,30.3959834053383,325,Okal01,13,A,2006,
-86.6795038590227,30.396650448247,326,Okal01,14,A,2006,
-86.7178838737852,30.3955503890915,327,Okal01,15,A,2006,
-86.5230208166025,30.387617719518,328,Okal03,1,A,2006,
-86.5499368209666,30.3903836690541,329,Okal03,2,A,2006,
-86.5522868146482,30.3910336555685,330,Okal03,3,A,2006,
-86.5711368388896,30.3931336261343,331,Okal03,4,A,2006,
-86.5184367990476,30.3884837251058,332,Okal06,1,A,2006,
-86.8293042864336,30.3866005017593,333,Okal07,1,A,2006,
-86.8298372865361,30.3862835112108,334,Okal07,1,B,2006,
-86.8357373108294,30.385217521976,335,Okal07,4,A,2006,
-86.0756720707079,30.2997220431137,336,Walt08,2,A,2006,
-86.0822690870503,30.3020690256983,337,Walt08,1,A,2006,
-86.0822520792471,30.3021020322658,338,Walt08,1,B,2006,
-86.0756680705099,30.2997180409989,339,Walt08,2,B,2006,
-86.9513879440497,30.3661508144711,340,ESCAtj10,3,A,2002,
-85.345732673564,29.6683025273209,341,FRANtj01,2,A,2002,
-85.3437996787357,29.670019520525,342,FRANtj01,1,A,2002,
-84.7535841977647,29.7107530292476,343,FRANtj06,8,B,2002,
-84.7850510538834,29.6887360071687,344,FRANtj06,2,A,2002,
-84.7034513974776,29.7552530076467,345,FRANtj06,3,A,2002,
-84.7067843843369,29.7519200198192,346,FRANtj06,4,A,2002,
-84.7238513012484,29.7359360274475,347,FRANtj06,7,A,2002,
-84.7535681906846,29.7106530391413,348,FRANtj06,8,A,2002,
-84.7535681843964,29.7064200377331,349,FRANtj06,9,A,2002,
-84.7670681176901,29.6989530154541,350,FRANtj06,10,A,2002,
-84.7100013735402,29.7490860218926,351,FRANtj06,12,A,2002,
-84.707684374979,29.7514030070785,352,FRANtj06,5,A,2002,
-84.7193683324848,29.7403530189237,353,FRANtj06,17,A,2002,
-84.7576181642947,29.7072030269049,354,FRANtj06,9,B,2002,
-84.7145683464609,29.744886013786,355,FRANtj06,20,A,2002,
-84.7069183725531,29.7519530182188,356,FRANtj06,4,B,2002,
-85.0609501132587,29.5988358720426,357,FRANtj04,1,A,2002,
-85.0925170542764,29.6192528031968,358,FRANtj04,7,A,2002,
-85.0651171014176,29.6025028703006,359,FRANtj04,9,A,2002,
-85.4141499376543,29.8486193724131,360,GULtj06,15,A,2002,
-85.4138169231954,29.8504353703442,361,GULtj06,14,A,2002,
-85.4051999712747,29.8684523847796,362,GULtj06,12,A,2002,
-85.4149329272223,29.8450353619736,363,GULtj06,1,A,2002,
-85.4066169576342,29.8667853857217,364,GULtj06,11,A,2002,
-85.3978669751014,29.8733853975145,365,GULtj06,19,A,2002,
-85.4163998994374,29.8376193633601,366,GULtj06,21,A,2002,
-85.4158329151695,29.8403693673899,367,GULtj06,2,A,2002,
-85.3992169776834,29.8727193946262,368,GULtj06,20,A,2002,
-85.4162498987513,29.8347693682577,369,GULtj06,3,A,2002,
-85.4068999637796,29.866952386564,370,GULtj06,11,B,2002,
-85.4101499633746,29.8621193816608,371,GULtj06,13,A,2002,
-85.4135999333418,29.8516853742149,372,GULtj06,14,B,2002,
-85.4142499327219,29.8485353732266,373,GULtj06,15,B,2002,
-85.4166328882862,29.8281693670304,374,GULtj06,16,A,2002,
-85.3925999684359,29.8763354182504,375,GULtj06,9,A,2002,
-85.4161499036838,29.8346353571913,376,GULtj06,3,B,2002,
-85.3881329717182,29.876785418417,377,GULtj06,38,A,2002,
-85.3870999837016,29.8770024282925,378,GULtj06,37,A,2002,
-87.3129382387303,30.3245035851483,379,ESCAtj04,3,A,2002,
-87.3606382395312,30.3115872126897,380,ESCAtj04,8,A,2002,
-87.3594052380234,30.3111872109263,381,ESCAtj04,2,A,2002,
-87.3266722577157,30.3180038028999,382,ESCAtj04,1,A,2002,
-87.3136882798903,30.3203536472503,383,ESCAtj04,4,A,2002,
-87.3605552423855,30.3107712318978,384,ESCAtj04,2,B,2002,
-87.3135382630344,30.3226866217687,385,ESCAtj04,11,B,2002,
-87.3545222279043,30.3131041515221,386,ESCAtj04,7,B,2002,
